Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Cory Joseph,1120920,22,68,19,936,0.475,0.316,0.823,32,75,114,35,14,43,84,343,SG,58679000
Matt Bonner,3945000,33,61,0,690,0.445,0.429,0.75,16,114,31,15,11,16,49,197,PF,58679000
Aron Baynes,788872,27,53,4,491,0.436,0,0.905,57,88,34,2,5,36,77,161,C,58679000
Nando De Colo,1463000,26,26,3,301,0.452,0.323,0.818,6,39,32,15,3,21,25,112,SF,58679000
John Wall,7459925,23,82,82,2980,0.433,0.351,0.805,38,295,721,149,40,295,219,1583,PG,58679000
Trevor Ariza,7727280,28,77,77,2723,0.456,0.407,0.772,99,376,191,126,20,132,179,1107,SF,58679000
Marcin Gortat,7727280,29,81,80,2655,0.542,1,0.686,202,565,138,41,121,126,201,1068,C,58679000
Bradley Beal,4319280,20,73,73,2530,0.419,0.402,0.788,54,219,243,71,18,128,153,1249,SG,58679000
Martell Webster,5150000,27,78,13,2157,0.433,0.392,0.84,38,184,97,41,15,58,150,759,SF,58679000
Nene Hilario,13000000,31,53,37,1560,0.503,0.2,0.583,65,229,153,64,47,117,164,754,PF,58679000
Trevor Booker,2350280,26,72,45,1553,0.551,0,0.618,149,230,64,41,45,58,131,491,PF,58679000
Garrett Temple,916099,27,75,0,638,0.362,0.207,0.698,21,47,72,35,11,42,72,138,SG,58679000
Kevin Seraphin,2761114,24,53,1,578,0.505,0,0.871,53,75,17,3,26,41,103,249,C,58679000
Al Harrington,1399507,33,34,0,511,0.396,0.34,0.771,15,65,28,14,0,34,72,225,PF,58679000
Jan Vesely,3340920,23,33,1,470,0.522,0,0.267,53,60,10,26,19,22,64,104,PF,58679000
Otto Porter,4278000,20,37,0,319,0.363,0.19,0.667,21,36,10,8,1,14,26,78,SF,58679000
Chris Singleton,1618680,24,25,0,250,0.373,0.368,0.72,18,37,6,9,3,17,25,75,SF,58679000
Eric Maynor,2016000,26,23,0,215,0.292,0.32,0.667,7,17,40,5,1,17,13,52,PG,58679000
Jeff Teague,8000000,25,79,79,2542,0.438,0.329,0.846,34,174,528,89,17,232,158,1304,PG,58679000
Paul Millsap,9500000,28,74,73,2482,0.461,0.358,0.731,154,473,232,129,78,185,210,1328,PF,58679000
Kyle Korver,6760563,32,71,71,2408,0.475,0.472,0.926,22,260,208,70,24,102,147,850,SG,58679000
DeMarre Carroll,2557545,27,73,73,2341,0.47,0.362,0.773,107,296,134,108,21,79,188,810,SF,58679000
Shelvin Mack,884293,23,73,11,1490,0.417,0.337,0.865,21,139,271,50,2,89,100,544,PG,58679000
Mike Scott,788872,25,80,6,1482,0.479,0.31,0.78,62,222,75,30,7,79,121,767,PF,58679000
Lou Williams,5225000,27,60,7,1445,0.4,0.342,0.849,10,114,210,45,4,92,65,625,PG,58679000
Elton Brand,4000000,34,73,15,1414,0.539,0,0.649,97,264,74,40,88,60,192,419,PF,58679000
Al Horford,12000000,27,29,29,958,0.567,0.364,0.682,66,178,76,27,44,64,56,538,C,58679000
Dennis Schroder,1348200,20,49,0,641,0.383,0.238,0.674,5,55,93,17,0,61,54,183,PG,58679000
Mike Muscala,788872,22,20,0,215,0.425,0,1,17,35,7,3,10,12,29,76,PF,58679000
John Jenkins,1258800,22,13,0,158,0.381,0.222,1,3,19,11,1,1,11,11,40,SG,58679000
Jared Cunningham,1208400,22,5,0,22,0.5,0,0,0,1,3,0,0,2,3,2,SG,58679000
Kemba Walker,2568360,23,73,73,2614,0.393,0.333,0.837,39,267,447,86,32,169,128,1289,PG,58679000
Al Jefferson,13500000,29,73,73,2553,0.509,0.2,0.69,156,636,155,67,79,124,176,1594,C,58679000
Gerald Henderson,6000000,26,77,77,2461,0.433,0.348,0.761,31,279,199,51,32,113,159,1081,SG,58679000
Josh McRoberts,2652000,26,78,78,2360,0.436,0.361,0.729,85,288,333,58,46,83,189,661,PF,58679000
Michael Kidd-Gilchrist,4809840,20,62,62,1502,0.473,0.111,0.614,109,215,52,43,39,60,145,448,SF,58679000
Cody Zeller,3857040,21,82,3,1416,0.426,0,0.73,118,235,92,40,41,87,170,490,C,58679000
Ramon Sessions,5000000,27,55,7,1305,0.409,0.221,0.782,22,95,206,33,6,93,50,578,PG,58679000
Anthony Tolliver,1027424,28,64,9,1298,0.42,0.413,0.805,33,135,42,19,15,23,82,393,PF,58679000
Bismack Biyombo,3049920,21,77,9,1072,0.611,0,0.517,105,261,8,7,86,40,124,222,C,58679000
Jeffery Taylor,788872,24,26,8,629,0.376,0.269,0.553,15,45,22,13,5,25,62,208,SF,58679000
Ben Gordon,13200000,30,19,0,279,0.343,0.276,0.81,3,24,21,10,2,21,18,99,SG,58679000
Jeff Adrien,916099,27,25,0,256,0.55,0,0.52,33,55,7,7,15,8,35,57,PF,58679000
Jannero Pargo,1399507,34,29,0,242,0.441,0.4,0.727,1,19,52,14,1,26,17,136,PG,58679000
LeBron James,19067500,29,77,77,2902,0.567,0.379,0.75,81,452,488,121,26,270,126,2089,SF,58679000
Chris Bosh,19067500,29,79,79,2531,0.516,0.339,0.82,98,424,87,80,78,125,192,1281,PF,58679000
Mario Chalmers,4000000,27,73,73,2178,0.454,0.385,0.742,41,173,357,119,16,162,210,716,PG,58679000
Norris Cole,1129200,25,82,6,2014,0.414,0.345,0.779,17,143,248,77,5,127,156,527,PG,58679000
Ray Allen,3229050,38,73,9,1936,0.442,0.375,0.905,23,182,143,54,8,84,115,701,SG,58679000
Dwyane Wade,18673000,32,54,53,1775,0.545,0.281,0.733,60,181,252,79,29,161,106,1028,SG,58679000
Shane Battier,3270000,35,73,56,1468,0.382,0.348,0.652,34,104,63,50,39,21,124,298,SF,58679000
Chris Andersen,1399507,35,72,0,1396,0.644,0.25,0.71,129,250,19,32,97,53,162,477,C,58679000
Rashard Lewis,1399507,34,60,6,971,0.415,0.343,0.788,24,86,57,53,8,35,90,268,SF,58679000
Michael Beasley,1027424,25,55,2,831,0.499,0.389,0.772,31,141,42,23,21,57,93,436,SF,58679000
